application_id,customer_name,email,phone,income,loan_amount,collateral_type,collateral_value,customer_type,currency_code
APP_0038,Name37,user37@mail.local,+84-099307646,72925635,38011788,House,49788712,Bank,USD
APP_0039,Name38,user38@mail.local,+84-092806495,23108596,26861540,House,37853578,Bank,USD
APP_0040,Name39,user39@mail.local,+84-096061454,49044028,136995192,House,118151807,Bank,USD
APP_0041,Name40,user40@mail.local,+84-094544341,72502840,50822264,House,75300784,Bank,USD
APP_0042,Name41,user41@mail.local,+84-093116650,24682228,65081833,Gold,87007901,Non-bank,USD
APP_0043,Name42,user42@mail.local,+84-095828643,25808285,22238831,House,15336111,Non-bank,USD
APP_0044,Name43,user43@mail.local,+84-096300811,19101839,18110505,House,12286098,Bank,USD
APP_0045,Name44,user44@mail.local,+84-098425896,5645937,13898510,Land,10734777,Non-bank,USD
APP_0046,Name45,user45@mail.local,+84-095614338,47312062,129566927,Car,116964881,Non-bank,USD
APP_0047,Name46,user46@mail.local,+84-096250527,6372975,10527108,Gold,8395305,Bank,USD
APP_0048,Name47,user47@mail.local,+84-099729820,54531594,32512238,House,21024238,Non-bank,USD
APP_0049,Name48,user48@mail.local,+84-092413343,40341288,51970194,Car,51996793,Bank,USD
APP_0050,Name49,user49@mail.local,+84-091135364,20668728,11124594,Car,9303060,Bank,USD
APP_0051,Name50,user50@mail.local,+84-092567870,35756407,49091194,Land,49896433,Bank,USD
APP_0052,Name51,user51@mail.local,+84-093802118,6266067,13461235,Car,17568779,Bank,USD
APP_0053,Name52,user52@mail.local,+84-093598972,17190022,19992688,Car,17785403,Bank,USD
APP_0054,Name53,user53@mail.local,+84-094628332,45046324,95950791,Land,61050867,Non-bank,USD
APP_0055,Name54,user54@mail.local,+84-096948410,11570852,32614766,Car,44065294,Non-bank,USD
APP_0056,Name55,user55@mail.local,+84-097572784,66900682,111412843,Gold,116012706,Bank,USD
APP_0057,Name56,user56@mail.local,+84-097143349,26835281,27312248,Land,22388777,Bank,USD
APP_0058,Name57,user57@mail.local,+84-097742732,83081041,233190670,Gold,334729252,Bank,USD
APP_0059,Name58,user58@mail.local,+84-095718023,19424037,55642903,Gold,70203290,Non-bank,USD
APP_0060,Name59,user59@mail.local,+84-097607759,58170390,48703981,Gold,47707184,Non-bank,USD
APP_0061,Name60,user60@mail.local,+84-098872527,48803883,134166575,Gold,122415107,Bank,USD
APP_0062,Name61,user61@mail.local,+84-096119980,82955418,102066099,Car,67766440,Bank,USD
APP_0063,Name62,user62@mail.local,+84-098182895,57512256,47185275,Gold,40441889,Non-bank,USD
APP_0064,Name63,user63@mail.local,+84-095965140,78498671,62421493,Land,77667723,Bank,USD
APP_0065,Name64,user64@mail.local,+84-094173129,44454572,106629856,House,71236355,Bank,USD
APP_0066,Name65,user65@mail.local,+84-093612282,23542144,16976388,House,15937944,Bank,USD
APP_0067,Name66,user66@mail.local,+84-098651508,21087008,50774971,Car,57498307,Non-bank,USD
APP_0068,Name67,user67@mail.local,+84-098819782,78620831,86407940,Gold,109389071,Bank,USD
APP_0069,Name68,user68@mail.local,+84-092745570,67113914,103822505,Land,131703027,Non-bank,USD
APP_0070,Name69,user69@mail.local,+84-094841887,49832487,42733563,House,36893897,Bank,USD
APP_0071,Name70,user70@mail.local,+84-096656341,28618549,61005430,Gold,54680274,Bank,USD
APP_0072,Name71,user71@mail.local,+84-094217831,39902438,65618155,Car,48663313,Non-bank,USD
APP_0073,Name72,user72@mail.local,+84-095623224,72748702,108000931,Gold,135687947,Bank,USD
APP_0074,Name73,user73@mail.local,+84-098156127,43500885,109260426,House,91661041,Bank,USD
APP_0075,Name74,user74@mail.local,+84-093229747,78543845,129403951,House,133594181,Bank,USD
APP_0076,Name75,user75@mail.local,+84-097522682,85404906,190360775,Gold,268361722,Bank,USD
APP_0077,Name76,user76@mail.local,+84-094737245,30452221,74759370,Gold,45288184,Bank,USD
APP_0078,Name77,user77@mail.local,+84-093866963,49693796,101236357,House,138797486,Bank,USD
APP_0079,Name78,user78@mail.local,+84-091532951,49798577,144589034,House,183030046,Non-bank,USD
APP_0080,Name79,user79@mail.local,+84-091213191,51152132,96022532,Gold,113367767,Non-bank,USD
APP_0081,Name80,user80@mail.local,+84-092751001,11076378,11602852,Gold,11212642,Bank,USD
APP_0082,Name81,user81@mail.local,+84-091075447,36435458,67576829,House,78498365,Bank,USD
APP_0083,Name82,user82@mail.local,+84-095841399,54575264,60654536,Gold,88175755,Non-bank,USD
APP_0084,Name83,user83@mail.local,+84-098657432,83056690,58830510,House,40343287,Non-bank,USD
APP_0085,Name84,user84@mail.local,+84-091279947,25222043,60303514,Land,39860306,Bank,USD
APP_0086,Name85,user85@mail.local,+84-092359419,59747489,69381405,Gold,62890589,Non-bank,USD
APP_0087,Name86,user86@mail.local,+84-098836761,70021909,89915209,Land,62288842,Non-bank,USD
APP_0088,Name87,user87@mail.local,+84-096422009,83567591,248267374,Gold,354024550,Bank,USD
APP_0089,Name88,user88@mail.local,+84-097946989,19758689,29665588,Gold,38821586,Non-bank,USD
APP_0090,Name89,user89@mail.local,+84-096316584,62315117,99908595,Car,74189772,Bank,USD
APP_0091,Name90,user90@mail.local,+84-099549890,31583091,88479929,Car,82840592,Non-bank,USD
APP_0092,Name91,user91@mail.local,+84-093028182,42404164,104957342,Gold,102212934,Bank,USD
APP_0093,Name92,user92@mail.local,+84-098574241,6230330,16502307,Gold,24076546,Bank,USD
APP_0094,Name93,user93@mail.local,+84-095010264,66391874,110933636,Gold,99429571,Bank,USD
APP_0095,Name94,user94@mail.local,+84-091310946,7766913,8009698,Car,8267511,Bank,USD
APP_0096,Name95,user95@mail.local,+84-094771206,36786048,24429505,Car,26287758,Non-bank,USD
APP_0097,Name96,user96@mail.local,+84-094707408,47219656,33031804,Land,43061017,Bank,USD
APP_0098,Name97,user97@mail.local,+84-095524370,61866619,52121010,Land,71991633,Bank,USD
APP_0099,Name98,user98@mail.local,+84-092508215,44806565,52574782,Land,63284110,Bank,USD
APP_0100,Name99,user99@mail.local,+84-098713198,76304149,186444218,Car,172833099,Bank,USD
APP_0101,Name100,user100@mail.local,+84-093771684,15853677,17023916,Car,13723683,Non-bank,USD
APP_0102,Name101,user101@mail.local,+84-099243743,27290769,42423062,House,40652662,Non-bank,USD
APP_0103,Name102,user102@mail.local,+84-099999391,26892812,44247855,Gold,49480338,Bank,USD
APP_0104,Name103,user103@mail.local,+84-091779130,37280880,47503855,House,61290894,Bank,USD
APP_0105,Name104,user104@mail.local,+84-097616924,5270394,4967489,Land,7270155,Bank,USD
APP_0106,Name105,user105@mail.local,+84-094861743,41492088,48548936,Car,67291841,Bank,USD
APP_0107,Name106,user106@mail.local,+84-095663135,37390758,98370819,House,128767230,Bank,USD
APP_0108,Name107,user107@mail.local,+84-093650832,54761659,163473446,House,230594626,Bank,USD
APP_0109,Name108,user108@mail.local,+84-094612563,53949212,76968564,Gold,94397733,Bank,USD
APP_0110,Name109,user109@mail.local,+84-098090640,28906682,47822557,Gold,69387718,Bank,USD
APP_0111,Name110,user110@mail.local,+84-096294886,41320395,55264845,Gold,58701965,Bank,USD
APP_0112,Name111,user111@mail.local,+84-094112630,47766894,67523126,Land,46048619,Bank,USD
APP_0113,Name112,user112@mail.local,+84-097392685,75983699,168526809,Car,211765682,Bank,USD
APP_0114,Name113,user113@mail.local,+84-095365949,11534745,26971876,Gold,39207130,Bank,USD
APP_0115,Name114,user114@mail.local,+84-097453900,57401756,74197163,House,46591087,Bank,USD
APP_0116,Name115,user115@mail.local,+84-097359189,11814182,10190325,House,11819589,Bank,USD
APP_0117,Name116,user116@mail.local,+84-098867537,27617132,62658163,Car,54781509,Bank,USD
APP_0118,Name117,user117@mail.local,+84-096716972,42743277,68324166,House,65848386,Bank,USD
APP_0119,Name118,user118@mail.local,+84-097680217,73936879,206338471,House,294298279,Bank,USD
APP_0120,Name119,user119@mail.local,+84-097690922,33626072,51223781,Gold,46150094,Bank,USD
APP_0121,Name120,user120@mail.local,+84-098243882,47456373,27016320,Car,31426239,Non-bank,USD
APP_0122,Name121,user121@mail.local,+84-094878281,54204315,125501776,Gold,123124631,Non-bank,USD
APP_0123,Name122,user122@mail.local,+84-093357530,69498877,206026274,Gold,295472357,Bank,USD
APP_0124,Name123,user123@mail.local,+84-095871907,38641151,64372469,Gold,59982816,Non-bank,USD
APP_0125,Name124,user124@mail.local,+84-095034473,53117572,153064842,Car,105529272,Non-bank,USD
APP_0126,Name125,user125@mail.local,+84-093449296,76301721,69165546,Gold,67581575,Bank,USD
APP_0127,Name126,user126@mail.local,+84-093145850,42182430,43538562,Car,41997608,Bank,USD
APP_0128,Name127,user127@mail.local,+84-097993854,84720125,114692419,Car,160207066,Bank,USD
APP_0129,Name128,user128@mail.local,+84-096295647,38673127,58584570,Car,52624932,Non-bank,USD
APP_0130,Name129,user129@mail.local,+84-098796609,41807003,114912629,Car,99353918,Non-bank,USD
APP_0131,Name130,user130@mail.local,+84-095830913,6889999,20196477,House,19516427,Non-bank,USD
APP_0132,Name131,user131@mail.local,+84-093719165,50323976,89351757,Land,109179695,Bank,USD
APP_0133,Name132,user132@mail.local,+84-098647235,44894816,100647923,Car,98643210,Bank,USD
APP_0134,Name133,user133@mail.local,+84-095479816,40281787,83344928,House,89166386,Bank,USD
APP_0135,Name134,user134@mail.local,+84-091122466,58002464,153783782,Gold,190568224,Bank,USD
APP_0136,Name135,user135@mail.local,+84-091941448,51564343,39676380,Car,24762752,Bank,USD
APP_0137,Name136,user136@mail.local,+84-095730133,85419640,162654974,Land,117086094,Bank,USD
APP_0138,Name137,user137@mail.local,+84-092005540,39564442,99734975,Car,124928421,Bank,USD
APP_0139,Name138,user138@mail.local,+84-098263190,42002716,102300462,Land,144904299,Non-bank,USD
APP_0140,Name139,user139@mail.local,+84-092301658,74032020,179057906,Land,247158004,Bank,USD
APP_0141,Name140,user140@mail.local,+84-095254608,46279519,136663423,Gold,168981927,Bank,USD
APP_0142,Name141,user141@mail.local,+84-096669147,26272516,14995289,Gold,22248048,Bank,USD
APP_0143,Name142,user142@mail.local,+84-091220690,49124787,37592465,House,51412017,Bank,USD
APP_0144,Name143,user143@mail.local,+84-098076375,48071912,42463029,House,51990772,Bank,USD
APP_0145,Name144,user144@mail.local,+84-091740127,39730233,77561541,House,91220867,Bank,USD
APP_0146,Name145,user145@mail.local,+84-092162714,50128015,79056551,Land,108135010,Bank,USD
APP_0147,Name146,user146@mail.local,+84-091413306,54197636,35787974,Land,49821889,Non-bank,USD
APP_0148,Name147,user147@mail.local,+84-099976922,87519827,104845060,Car,88765411,Non-bank,USD
APP_0149,Name148,user148@mail.local,+84-094889359,10979807,16216083,Land,22193610,Bank,USD
APP_0150,Name149,user149@mail.local,+84-094184797,82607654,145775913,Car,164637293,Bank,USD
APP_0151,Name150,user150@mail.local,+84-093025013,46512625,111134811,House,66699528,Bank,USD
APP_0152,Name151,user151@mail.local,+84-099040100,37255438,64174699,Car,49888735,Bank,USD
APP_0153,Name152,user152@mail.local,+84-096436586,56862310,145813100,Car,189795922,Bank,USD
APP_0154,Name153,user153@mail.local,+84-099996476,14825911,27445286,House,24919536,Bank,USD
APP_0155,Name154,user154@mail.local,+84-099884149,68229724,95041140,Gold,129137611,Bank,USD
APP_0156,Name155,user155@mail.local,+84-098569534,13014636,32731076,Car,37392153,Bank,USD
APP_0157,Name156,user156@mail.local,+84-097989757,41535577,40121139,Gold,59699831,Bank,USD
APP_0158,Name157,user157@mail.local,+84-094423181,22143855,60302645,Gold,77637774,Bank,USD
APP_0159,Name158,user158@mail.local,+84-094051818,30738181,67117871,Gold,45891172,Non-bank,USD
APP_0160,Name159,user159@mail.local,+84-091217470,45025080,129827257,Car,175787287,Bank,USD
APP_0161,Name160,user160@mail.local,+84-098114942,5500652,5636009,Gold,6749238,Bank,USD
APP_0162,Name161,user161@mail.local,+84-095571744,80534965,87127900,Car,69537690,Bank,USD
APP_0163,Name162,user162@mail.local,+84-098862925,69300712,113749976,Car,121157826,Bank,USD
APP_0164,Name163,user163@mail.local,+84-095391489,86460309,75383838,House,56109442,Non-bank,USD
APP_0165,Name164,user164@mail.local,+84-091054069,11593957,6948450,Land,6501952,Non-bank,USD
APP_0166,Name165,user165@mail.local,+84-091031665,19981365,27569693,Land,35022046,Non-bank,USD
APP_0167,Name166,user166@mail.local,+84-098234834,46648983,110916521,Land,111807153,Bank,USD
APP_0168,Name167,user167@mail.local,+84-098817870,77703974,211546161,Land,252863729,Non-bank,USD
APP_0169,Name168,user168@mail.local,+84-094183543,30870693,33443068,Car,47135015,Bank,USD
APP_0170,Name169,user169@mail.local,+84-092315656,30455709,87126450,Gold,107285121,Bank,USD
APP_0171,Name170,user170@mail.local,+84-091509811,76469883,53383289,Land,36452833,Bank,USD
APP_0172,Name171,user171@mail.local,+84-096643047,5128539,3568071,Gold,3465403,Bank,USD
APP_0173,Name172,user172@mail.local,+84-098458322,85790448,194182515,House,171758230,Bank,USD
APP_0174,Name173,user173@mail.local,+84-093362633,21145978,14157382,Land,14590694,Bank,USD
APP_0175,Name174,user174@mail.local,+84-092721765,32104339,93957151,Gold,132213031,Bank,USD
APP_0176,Name175,user175@mail.local,+84-094728632,32553180,38592593,House,35065626,Bank,USD
APP_0177,Name176,user176@mail.local,+84-098078886,81310304,66821583,House,84682110,Bank,USD
APP_0178,Name177,user177@mail.local,+84-095228983,74814664,181136488,House,185021683,Non-bank,USD
APP_0179,Name178,user178@mail.local,+84-095644853,33689969,52425875,House,70981843,Bank,USD
APP_0180,Name179,user179@mail.local,+84-096288972,34014660,93546725,House,75972134,Bank,USD
APP_0181,Name180,user180@mail.local,+84-095790122,74029529,128155949,Land,137269125,Non-bank,USD
APP_0182,Name181,user181@mail.local,+84-095675673,29043408,15101383,Gold,17647937,Bank,USD
APP_0183,Name182,user182@mail.local,+84-091645435,72901705,66220832,Gold,62183331,Bank,USD
APP_0184,Name183,user183@mail.local,+84-094279953,74373227,55665667,House,61630376,Bank,USD
APP_0185,Name184,user184@mail.local,+84-096387555,60699240,57869061,Gold,50176224,Bank,USD
APP_0186,Name185,user185@mail.local,+84-091364160,68192445,80222985,Gold,119426609,Bank,USD
APP_0187,Name186,user186@mail.local,+84-098319031,24439793,16825479,House,20502428,Non-bank,USD
APP_0188,Name187,user187@mail.local,+84-092139441,52799603,142417082,House,166131526,Bank,USD
APP_0189,Name188,user188@mail.local,+84-091115236,16702329,36465059,Gold,52549532,Non-bank,USD
APP_0190,Name189,user189@mail.local,+84-096615918,9911830,15957484,House,15903319,Bank,USD
APP_0191,Name190,user190@mail.local,+84-096796738,41071546,112814636,Car,167320171,Bank,USD
APP_0192,Name191,user191@mail.local,+84-096454159,30036284,60948707,Land,41506835,Bank,USD
APP_0193,Name192,user192@mail.local,+84-096098223,49723987,109606805,Land,163247320,Bank,USD
APP_0194,Name193,user193@mail.local,+84-097014449,79228200,180768162,Car,225548571,Non-bank,USD
APP_0195,Name194,user194@mail.local,+84-094259193,26133624,41778778,Land,46873528,Bank,USD
APP_0196,Name195,user195@mail.local,+84-091723393,20225774,24936571,Gold,22962539,Bank,USD
APP_0197,Name196,user196@mail.local,+84-097533092,78808249,214113851,Gold,167603616,Bank,USD
APP_0198,Name197,user197@mail.local,+84-093248169,7575046,10777138,Car,15996528,Bank,USD
APP_0199,Name198,user198@mail.local,+84-091723338,54950477,87480364,Land,71007768,Non-bank,USD
APP_0200,Name199,user199@mail.local,+84-093113833,52536222,62554019,Gold,87081256,Bank,USD
